run,script,symbol,start_date,end_date,granularity,trend_filter_window,sl_atr,tsl_atr,wfo_test_days,wfo_window_years,oos_mean_sharpe,oos_mean_return,oos_mean_drawdown,oos_std_sharpe,oos_std_return,oos_std_drawdown,error
68,backtest_stoch_sma_vbt_pro.py,BTC-USD,2020-01-01,2025-04-15,4h,0,1.5,3.5,180,2.0,,,,,,,Report file not found
69,backtest_stoch_sma_vbt_pro.py,BTC-USD,2020-01-01,2025-04-15,4h,0,2.0,2.0,180,2.0,,,,,,,Report file not found
70,backtest_stoch_sma_vbt_pro.py,BTC-USD,2020-01-01,2025-04-15,4h,0,2.0,2.5,180,2.0,,,,,,,Report file not found
71,backtest_stoch_sma_vbt_pro.py,BTC-USD,2020-01-01,2025-04-15,4h,0,2.0,3.0,180,2.0,,,,,,,Report file not found
72,backtest_stoch_sma_vbt_pro.py,BTC-USD,2020-01-01,2025-04-15,4h,0,2.0,3.5,180,2.0,,,,,,,Report file not found
74,backtest_stoch_sma_vbt_pro.py,BTC-USD,2020-01-01,2025-04-15,4h,0,2.5,2.5,180,2.0,,,,,,,Report file not found
75,backtest_stoch_sma_vbt_pro.py,BTC-USD,2020-01-01,2025-04-15,4h,0,2.5,3.0,180,2.0,,,,,,,Report file not found
76,backtest_stoch_sma_vbt_pro.py,BTC-USD,2020-01-01,2025-04-15,4h,0,2.5,3.5,180,2.0,,,,,,,Report file not found
79,backtest_stoch_sma_vbt_pro.py,BTC-USD,2020-01-01,2025-04-15,4h,0,3.0,3.0,180,2.0,,,,,,,Report file not found
80,backtest_stoch_sma_vbt_pro.py,BTC-USD,2020-01-01,2025-04-15,4h,0,3.0,3.5,180,2.0,,,,,,,Report file not found
81,backtest_stoch_sma_vbt_pro.py,BTC-USD,2020-01-01,2025-04-15,4h,50,1.5,2.0,180,2.0,,,,,,,Report file not found
82,backtest_stoch_sma_vbt_pro.py,BTC-USD,2020-01-01,2025-04-15,4h,50,1.5,2.5,180,2.0,,,,,,,Report file not found
83,backtest_stoch_sma_vbt_pro.py,BTC-USD,2020-01-01,2025-04-15,4h,50,1.5,3.0,180,2.0,,,,,,,Report file not found
84,backtest_stoch_sma_vbt_pro.py,BTC-USD,2020-01-01,2025-04-15,4h,50,1.5,3.5,180,2.0,,,,,,,Report file not found
85,backtest_stoch_sma_vbt_pro.py,BTC-USD,2020-01-01,2025-04-15,4h,50,2.0,2.0,180,2.0,,,,,,,Report file not found
86,backtest_stoch_sma_vbt_pro.py,BTC-USD,2020-01-01,2025-04-15,4h,50,2.0,2.5,180,2.0,,,,,,,Report file not found
87,backtest_stoch_sma_vbt_pro.py,BTC-USD,2020-01-01,2025-04-15,4h,50,2.0,3.0,180,2.0,,,,,,,Report file not found
88,backtest_stoch_sma_vbt_pro.py,BTC-USD,2020-01-01,2025-04-15,4h,50,2.0,3.5,180,2.0,,,,,,,Report file not found
90,backtest_stoch_sma_vbt_pro.py,BTC-USD,2020-01-01,2025-04-15,4h,50,2.5,2.5,180,2.0,,,,,,,Report file not found
91,backtest_stoch_sma_vbt_pro.py,BTC-USD,2020-01-01,2025-04-15,4h,50,2.5,3.0,180,2.0,,,,,,,Report file not found
